GeneID,Symbol,Description,Synonyms,Maestro score,FDR,Evidence,Tissues
66445,Cyc1,cytochrome c-1,"2610002H19Rik, AA408921, Q9D0M3",44,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
18597,Pdha1,pyruvate dehydrogenase E1 alpha 1,"Pdha-1, P35486",42,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
66043,Atp5d,"""ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit""","0610008F14Rik, 1500000I11Rik, AA960090, AI876556, AU020773, C85518, Q9D3D9",42,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+""",all 14
74316,Isca2,iron-sulfur cluster assembly 2 homolog (S. cerevisiae),"0710001C05Rik, 5730594E03Rik, Hbld1, Q9DCB8",42,0%,"""APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++""",all 14
22273,Uqcrc1,ubiquinol-cytochrome c reductase core protein 1,"1110032G10Rik, Q9CZ13",42,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
68263,Pdhb,pyruvate dehydrogenase (lipoamide) beta,"2610103L06Rik, AL024199, C81408, Q9D051",42,0%,"""literature, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
67914,Coq9,coenzyme Q9 homolog (yeast),"2310005O14Rik, C78387, Q8K1Z0",42,0%,"""APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++""",all 14
56282,Mrpl12,mitochondrial ribosomal protein L12,"0610034O11Rik, 1500031N16Rik, MRP-L12, Rpml12, Q9DB15",42,0%,"""literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
12858,Cox5a,cytochrome c oxidase subunit Va,"AA959768, CcOX, P12787",42,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
232536,Mrps35,mitochondrial ribosomal protein S35,"MDSO23, MRP-S28, MRPS28, Q8BJZ4",42,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
66694,Uqcrfs1,"""ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1""","4430402G14Rik, AI875505, Q9CR68",41,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++""",all 14
12850,Coq7,demethyl-Q 7,"clk-1, P97478",41,0%,"""literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++""",all 14
66945,Sdha,"""succinate dehydrogenase complex, subunit A, flavoprotein (Fp)""","1500032O14Rik, 2310034D06Rik, 4921513A11, C81073, FP, SDH2, SDHF, Q8K2B3",41,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
67680,Sdhb,"""succinate dehydrogenase complex, subunit B, iron sulfur (Ip)""","0710008N11Rik, Q9CQA3",41,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
11946,Atp5a1,"""ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1""","AI035633, AL022851, AL023067, Atpm, D18Ertd206e, Mom2, Q03265",41,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
68002,1110058L19Rik,RIKEN cDNA 1110058L19 gene,"1700001E18Rik, C6orf57, Q8BTE0",41,0%,"""targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS""","adipose, testis"
73078,Pmpcb,peptidase (mitochondrial processing) beta,"3110004O18Rik, MPP11, MPPB, MPPP52, Q9CXT8",41,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
66925,Sdhd,"""succinate dehydrogenase complex, subunit D, integral membrane protein""","3110001M13Rik, AVLL5809, C78570, PRO19626, Q9CXV1",41,0%,"""literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+""",all 14
52064,Coq5,"""coenzyme Q5 homolog, methyltransferase (yeast)""","1810014G04Rik, D5Ertd33e, Q9CXI0",40,0%,"""APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
67003,Uqcrc2,ubiquinol cytochrome c reductase core protein 2,"1500004O06Rik, Q9DB77",40,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
18293,Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),"2210403E04Rik, 2210412K19Rik, AA409584, d1401, mKIAA4192, Q60597",40,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
22272,Uqcrq,"""ubiquinol-cytochrome c reductase, complex III subunit VII""","1100001F06Rik, 1500040F11Rik, 5830407L17Rik, 9.5kDa, AA959903, QP-C, Qpc, Uqcrb, c1502, Q9CQ69",40,0%,"""literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
17448,Mdh2,"""malate dehydrogenase 2, NAD (mitochondrial)""","MDH, Mdh-2, Mor-1, Mor1, P08249",39,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
13171,Dbt,dihydrolipoamide branched chain transacylase E2,"D3Wsu60e, P53395",38,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++""",all 14
235339,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),"6332404G05Rik, DLTA, PDC-E2, Q8BMF4",38,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
72416,Lrpprc,leucine-rich PPR-motif containing,"3110001K13Rik, C76645, Gp130, Lrp130, Lsfc, Q6PB66",38,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++""",all 14
68499,Mrpl53,mitochondrial ribosomal protein L53,"1110007K17Rik, Q9D1H8",38,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
27402,Pdhx,"""pyruvate dehydrogenase complex, component X""","AI481367, E3bp, Pdx1, Q8BKZ9",38,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+""",all 14
78920,Dlst,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),"1600017E01Rik, 4632413C10Rik, 4930529O08Rik, DLTS, Q9D2G2",38,0%,"""literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+""",all 14
28030,Gfm1,"""G elongation factor, mitochondrial 1""","AW545374, D3Wsu133e, Gfm, Q8K0D5",37,0%,"""literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++""",all 14
17713,Grpel1,"""GrpE-like 1, mitochondrial""","AA408748, mt-GrpE#1, mt-Grpel1, Q99LP6",37,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
66152,Uqcr10,"""ubiquinol-cytochrome c reductase, complex III subunit X""","1110020P15Rik, AA960494, Ucrc, Q8R1I1",37,0%,"""literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
70456,Mpc2,mitochondrial pyruvate carrier 2,"0610006C01Rik, 2010002I07Rik, 2610205H19Rik, AA108335, Brp44, ESTM43, Q9D023",37,0%,"""literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
230027,Coq3,"""coenzyme Q3 homolog, methyltransferase (yeast)""","4732433J24, C77934, Q8BMS4",37,0%,"""APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS+""","cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis"
18674,Slc25a3,"""solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3""","5730556H19Rik, PTP, Phc, Q8VEM8",37,0%,"""literature, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
67126,Atp5e,"""ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit""","2410043G19Rik, ATPE, AV000645, P56382",37,0%,"""literature, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++""",all 14
94065,Mrpl34,mitochondrial ribosomal protein L34,"0610007O17Rik, D8Bwg1484e, Q99N91",37,0%,"""literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS""","cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis"
66407,Mrps15,mitochondrial ribosomal protein S15,"1500003E24Rik, 2410002B11Rik, Mprs15, Q9DC71",37,0%,"""literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++""",all 14
66052,Sdhc,"""succinate dehydrogenase complex, subunit C, integral membrane protein""","0610010E03Rik, AI316496, AU019277, Q9CZB0",36,0%,"""literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+""",all 14
